Rk,Player,Pos,CrdY
798,Morgan Rogers,MF,0
799,Cristian Romero,DF,2
800,Luis Romo,MF,0
801,Cristiano Ronaldo,FW,0
802,Eloy Room,GK,0
803,Marten de Roon,DFMF,0
804,Saed Al-Rosan,DF,0
805,Antonio Rüdiger,DF,0
806,Fabián Ruiz Peña,MF,0
807,Mathew Ryan,GK,0
808,Julian Ryerson,DF,0
809,Elias Saad,MFFW,0
810,Marwane Saâdane,DFMF,0
811,Mustafa Saadoon,DF,0
812,Mahmoud Saber,MF,1
813,Marcel Sabitzer,MF,1
814,Noah Sadiki,MF,2
815,Michal Sadílek,MF,0
816,Alexis Saelemaekers,MF,0
817,Ismael Saibari,FW,0
818,Bukayo Saka,MF,0
819,Mohamed Salah,FWMF,0
820,Anass Salah-Eddine,DF,0
821,Nathan Saliba,MF,1
822,William Saliba,DF,0
823,Shurandy Sambo,DF,0
824,Antonio Sanabria,FW,0
825,Davinson Sánchez,DF,1
826,Jorge Sánchez,DF,1
